ISO3,DialingPlan,Min,Max,TrunkPrefix,Format
UGA,Variable,9,9,0,+256 XXX XXX XXX
ZMB,Variable,9,9,0,+260 XX XXX XXXX
ZWE,Variable,9,9,0,+263 XX XXX XXXX
SHN,Fixed,4,5,None,+290 XXXX
ESH,Variable,9,9,0,+212 XXX XX XX XX
BHR,Fixed,8,8,None,+973 XXXX XXXX
IRQ,Variable,10,10,0,+964 XXX XXX XXXX
IRN,Variable,10,10,0,+98 XXX XXX XXXX
ISR,Variable,8,9,0,+972 XX XXX XXXX
JOR,Variable,8,9,0,+962 X XXXX XXXX
KWT,Fixed,8,8,None,+965 XXXX XXXX
LBN,Variable,7,8,0,+961 XX XXX XXX
OMN,Fixed,8,8,None,+968 XXXX XXXX
PSE,Variable,9,9,0,+970 XX XXX XXXX
QAT,Fixed,7,8,None,+974 XXXX XXXX
SAU,Variable,9,9,0,+966 XX XXX XXXX
SYR,Variable,8,9,0,+963 XX XXX XXXX
ARE,Variable,8,9,0,+971 XX XXX XXXX
YEM,Variable,7,9,0,+967 XX XXX XXX
KAZ,Fixed,10,10,8,+7 XXX XXX XX XX
KGZ,Variable,9,9,0,+996 XXX XXX XXX
TJK,Variable,9,9,None,+992 XX XXX XXXX
TKM,Variable,8,8,8,+993 XX XXX XXX
UZB,Variable,9,9,0,+998 XX XXX XXXX
AFG,Variable,9,9,0,+93 XX XXX XXXX
BGD,Variable,10,10,0,+880 XX XXXX XXXX
BTN,Variable,7,8,None,+975 XX XXX XXX
IND,Fixed,10,10,0,+91 XXXXX XXXXX
MDV,Fixed,7,7,None,+960 XXX XXXX
NPL,Variable,8,10,0,+977 XX XXXX XXXX
PAK,Variable,9,10,0,+92 XXX XXX XXXX
LKA,Variable,9,9,0,+94 XX XXX XXXX
CHN,Variable,11,11,0,+86 XXX XXXX XXXX
HKG,Fixed,8,8,None,+852 XXXX XXXX
JPN,Variable,9,10,0,+81 XX XXXX XXXX
PRK,Variable,6,8,0,+850 XX XXX XXX
KOR,Variable,8,10,0,+82 XX XXXX XXXX
MAC,Fixed,8,8,None,+853 XXXX XXXX
MNG,Variable,8,8,None,+976 XXXX XXXX
TWN,Variable,8,9,0,+886 X XXXX XXXX
BRN,Fixed,7,7,None,+673 XXX XXXX
KHM,Variable,8,9,0,+855 XX XXX XXXX
IDN,Variable,8,12,0,+62 XXX XXXX XXXX
LAO,Variable,8,10,0,+856 XX XX XXX XXX
MYS,Variable,7,8,0,+60 XX XXXX XXXX
MMR,Variable,7,9,0,+95 XX XXX XXXX
PHL,Variable,10,10,0,+63 XXX XXX XXXX
SGP,Fixed,8,8,None,+65 XXXX XXXX
THA,Variable,8,9,0,+66 XX XXX XXXX
TLS,Fixed,7,8,None,+670 XXX XXXX
VNM,Variable,9,10,0,+84 XX XXXX XXXX
AUS,Variable,9,9,0,+61 X XXXX XXXX
NZL,Variable,8,10,0,+64 XX XXX XXXX
FJI,Fixed,7,7,None,+679 XXX XXXX
PNG,Fixed,7,8,None,+675 XXX XXXX
WSM,Fixed,5,7,None,+685 XX XXXX
SLB,Fixed,5,7,None,+677 XXXXX
TON,Fixed,5,7,None,+676 XXXXX
VUT,Fixed,5,7,None,+678 XXXXX
KIR,Fixed,5,8,None,+686 XXXXX
MHL,Fixed,7,7,1,+692 XXX XXXX
FSM,Fixed,7,7,1,+691 XXX XXXX
NRU,Fixed,4,7,None,+674 XXX XXXX
PLW,Fixed,7,7,None,+680 XXX XXXX
TUV,Fixed,5,6,None,+688 XXXXX
NIU,Fixed,4,4,None,+683 XXXX
TKL,Fixed,4,4,None,+690 XXXX
COK,Fixed,5,5,None,+682 XXXXX
NCL,Fixed,6,6,None,+687 XXX XXX
PYF,Fixed,6,6,None,+689 XXX XXX
WLF,Fixed,6,6,None,+681 XXX XXX
NFK,Fixed,5,6,None,+672 3 XXXXX
CXR,Variable,9,9,0,+61 8 9164 XXXX
CCK,Variable,9,9,0,+61 8 9162 XXXX
ASM,Fixed,10,10,1,+1 684 XXX XXXX
GUM,Fixed,10,10,1,+1 671 XXX XXXX
MNP,Fixed,10,10,1,+1 670 XXX XXXX
PCN,Variable,8,10,0,+64 XX XXX XXXX
IOT,Fixed,7,7,None,+246 XXX XXXX
ATA,Fixed,6,6,None,+672 1X XXXX
