ISO3,Code,Description,Region,NumberType,IsGeographic
USA,501,"Arkansas - Little Rock, Hot Springs",Arkansas,geographic,true
USA,502,Kentucky - Louisville,Kentucky,geographic,true
USA,503,"Oregon - Portland, Salem",Oregon,geographic,true
USA,504,Louisiana - New Orleans,Louisiana,geographic,true
USA,505,"New Mexico - Albuquerque, Santa Fe",New Mexico,geographic,true
USA,507,Minnesota - Rochester,Minnesota,geographic,true
USA,508,Massachusetts - Worcester,Massachusetts,geographic,true
USA,509,Washington - Spokane,Washington,geographic,true
USA,510,California - Oakland,California,geographic,true
USA,512,Texas - Austin,Texas,geographic,true
USA,513,Ohio - Cincinnati,Ohio,geographic,true
USA,515,Iowa - Des Moines,Iowa,geographic,true
USA,516,New York - Nassau County (Long Island),New York,geographic,true
USA,517,Michigan - Lansing,Michigan,geographic,true
USA,518,New York - Albany,New York,geographic,true
USA,520,Arizona - Tucson,Arizona,geographic,true
USA,530,"California - Redding, Chico",California,geographic,true
USA,531,Nebraska - Omaha,Nebraska,geographic,true
USA,539,Oklahoma - Tulsa,Oklahoma,geographic,true
USA,540,Virginia - Roanoke,Virginia,geographic,true
USA,541,"Oregon - Eugene, Bend",Oregon,geographic,true
USA,551,New Jersey - Jersey City,New Jersey,geographic,true
USA,559,California - Fresno,California,geographic,true
USA,561,"Florida - West Palm Beach, Boca Raton",Florida,geographic,true
USA,562,California - Long Beach,California,geographic,true
USA,563,"Iowa - Davenport, Dubuque",Iowa,geographic,true
USA,564,Washington - Seattle,Washington,geographic,true
USA,567,Ohio - Toledo,Ohio,geographic,true
USA,570,"Pennsylvania - Scranton, Wilkes-Barre",Pennsylvania,geographic,true
USA,571,"Virginia - Arlington, Fairfax",Virginia,geographic,true
USA,573,"Missouri - Columbia, Jefferson City",Missouri,geographic,true
USA,574,"Indiana - South Bend, Elkhart",Indiana,geographic,true
USA,575,New Mexico - Las Cruces,New Mexico,geographic,true
USA,580,"Oklahoma - Lawton, Enid",Oklahoma,geographic,true
USA,585,New York - Rochester,New York,geographic,true
USA,586,"Michigan - Warren, Sterling Heights",Michigan,geographic,true
USA,601,Mississippi - Jackson,Mississippi,geographic,true
USA,602,Arizona - Phoenix,Arizona,geographic,true
USA,603,New Hampshire,New Hampshire,geographic,true
USA,605,South Dakota,South Dakota,geographic,true
USA,606,Kentucky - Ashland,Kentucky,geographic,true
USA,607,New York - Binghamton,New York,geographic,true
USA,608,Wisconsin - Madison,Wisconsin,geographic,true
USA,609,"New Jersey - Trenton, Atlantic City",New Jersey,geographic,true
USA,610,"Pennsylvania - Allentown, Reading",Pennsylvania,geographic,true
USA,612,Minnesota - Minneapolis,Minnesota,geographic,true
USA,614,Ohio - Columbus,Ohio,geographic,true
USA,615,Tennessee - Nashville,Tennessee,geographic,true
USA,616,Michigan - Grand Rapids,Michigan,geographic,true
USA,617,Massachusetts - Boston,Massachusetts,geographic,true
USA,618,"Illinois - Belleville, Carbondale",Illinois,geographic,true
USA,619,California - San Diego,California,geographic,true
USA,620,"Kansas - Dodge City, Liberal",Kansas,geographic,true
USA,623,"Arizona - Glendale, Peoria",Arizona,geographic,true
USA,626,California - Pasadena,California,geographic,true
USA,628,California - San Francisco,California,geographic,true
USA,629,Tennessee - Nashville,Tennessee,geographic,true
USA,630,"Illinois - Naperville, Wheaton",Illinois,geographic,true
USA,631,New York - Suffolk County (Long Island),New York,geographic,true
USA,636,"Missouri - St. Charles, Chesterfield",Missouri,geographic,true
USA,641,"Iowa - Mason City, Ottumwa",Iowa,geographic,true
USA,646,New York - Manhattan,New York,geographic,true
USA,650,California - San Mateo,California,geographic,true
USA,651,Minnesota - St. Paul,Minnesota,geographic,true
USA,657,"California - Anaheim, Fullerton",California,geographic,true
USA,660,Missouri - Sedalia,Missouri,geographic,true
USA,661,"California - Bakersfield, Lancaster",California,geographic,true
USA,662,"Mississippi - Tupelo, Columbus",Mississippi,geographic,true
USA,667,Maryland - Baltimore,Maryland,geographic,true
USA,669,California - San Jose,California,geographic,true
USA,678,Georgia - Atlanta,Georgia,geographic,true
USA,681,West Virginia,West Virginia,geographic,true
USA,682,Texas - Fort Worth,Texas,geographic,true
USA,689,Florida - Orlando,Florida,geographic,true
USA,701,North Dakota,North Dakota,geographic,true
USA,702,Nevada - Las Vegas,Nevada,geographic,true
USA,703,"Virginia - Arlington, Alexandria, Fairfax",Virginia,geographic,true
USA,704,North Carolina - Charlotte,North Carolina,geographic,true
USA,706,"Georgia - Augusta, Columbus",Georgia,geographic,true
USA,707,"California - Santa Rosa, Napa",California,geographic,true
USA,708,"Illinois - Cicero, Oak Park",Illinois,geographic,true
USA,712,"Iowa - Sioux City, Council Bluffs",Iowa,geographic,true
USA,713,Texas - Houston,Texas,geographic,true
USA,714,"California - Anaheim, Santa Ana",California,geographic,true
USA,715,"Wisconsin - Eau Claire, Wausau",Wisconsin,geographic,true
USA,716,New York - Buffalo,New York,geographic,true
USA,717,"Pennsylvania - Harrisburg, Lancaster",Pennsylvania,geographic,true
USA,718,"New York - Brooklyn, Queens, Bronx, Staten Island",New York,geographic,true
USA,719,"Colorado - Colorado Springs, Pueblo",Colorado,geographic,true
USA,720,"Colorado - Denver, Boulder",Colorado,geographic,true
USA,724,"Pennsylvania - New Castle, Washington",Pennsylvania,geographic,true
USA,725,Nevada - Las Vegas,Nevada,geographic,true
USA,726,Texas - San Antonio,Texas,geographic,true
USA,727,"Florida - St. Petersburg, Clearwater",Florida,geographic,true
USA,731,Tennessee - Jackson,Tennessee,geographic,true
USA,732,"New Jersey - New Brunswick, Toms River",New Jersey,geographic,true
USA,734,"Michigan - Ann Arbor, Ypsilanti",Michigan,geographic,true
USA,737,Texas - Austin,Texas,geographic,true
USA,740,"Ohio - Lancaster, Marietta",Ohio,geographic,true
USA,747,"California - Burbank, Glendale",California,geographic,true
USA,754,Florida - Fort Lauderdale,Florida,geographic,true
USA,757,"Virginia - Norfolk, Virginia Beach",Virginia,geographic,true
USA,760,"California - Oceanside, Palm Springs",California,geographic,true
USA,762,Georgia - Augusta,Georgia,geographic,true
USA,763,"Minnesota - Brooklyn Park, Plymouth",Minnesota,geographic,true
USA,765,"Indiana - Muncie, Lafayette",Indiana,geographic,true
USA,769,Mississippi - Jackson,Mississippi,geographic,true
USA,770,"Georgia - Marietta, Roswell",Georgia,geographic,true
USA,772,"Florida - Port St. Lucie, Vero Beach",Florida,geographic,true
USA,773,Illinois - Chicago,Illinois,geographic,true
USA,774,Massachusetts - Worcester,Massachusetts,geographic,true
USA,775,Nevada - Reno,Nevada,geographic,true
USA,779,Illinois - Rockford,Illinois,geographic,true
USA,781,"Massachusetts - Wellesley, Weymouth",Massachusetts,geographic,true
USA,785,"Kansas - Topeka, Lawrence",Kansas,geographic,true
USA,786,Florida - Miami,Florida,geographic,true
USA,801,Utah - Salt Lake City,Utah,geographic,true
USA,802,Vermont,Vermont,geographic,true
USA,803,South Carolina - Columbia,South Carolina,geographic,true
USA,804,Virginia - Richmond,Virginia,geographic,true
USA,805,"California - Santa Barbara, San Luis Obispo",California,geographic,true
USA,806,"Texas - Lubbock, Amarillo",Texas,geographic,true
USA,808,Hawaii,Hawaii,geographic,true
USA,810,Michigan - Flint,Michigan,geographic,true
USA,812,"Indiana - Evansville, Bloomington",Indiana,geographic,true
USA,813,Florida - Tampa,Florida,geographic,true
USA,814,Pennsylvania - Erie,Pennsylvania,geographic,true
USA,815,"Illinois - Rockford, Joliet",Illinois,geographic,true
USA,816,Missouri - Kansas City,Missouri,geographic,true
USA,817,"Texas - Fort Worth, Arlington",Texas,geographic,true
USA,818,"California - Burbank, San Fernando Valley",California,geographic,true
USA,828,North Carolina - Asheville,North Carolina,geographic,true
USA,830,"Texas - New Braunfels, Del Rio",Texas,geographic,true
USA,831,"California - Monterey, Santa Cruz",California,geographic,true
USA,832,Texas - Houston,Texas,geographic,true
USA,843,"South Carolina - Charleston, Myrtle Beach",South Carolina,geographic,true
USA,845,"New York - Poughkeepsie, Newburgh",New York,geographic,true
USA,847,"Illinois - Evanston, Waukegan",Illinois,geographic,true
USA,848,"New Jersey - New Brunswick, Toms River",New Jersey,geographic,true
USA,850,"Florida - Tallahassee, Pensacola",Florida,geographic,true
USA,854,South Carolina - Charleston,South Carolina,geographic,true
USA,856,"New Jersey - Camden, Vineland",New Jersey,geographic,true
USA,857,Massachusetts - Boston,Massachusetts,geographic,true
USA,858,California - San Diego (North),California,geographic,true
USA,859,Kentucky - Lexington,Kentucky,geographic,true
USA,860,"Connecticut - Hartford, New London",Connecticut,geographic,true
USA,862,New Jersey - Newark,New Jersey,geographic,true
USA,863,"Florida - Lakeland, Winter Haven",Florida,geographic,true
USA,864,"South Carolina - Greenville, Spartanburg",South Carolina,geographic,true
USA,870,"Arkansas - Jonesboro, Pine Bluff",Arkansas,geographic,true
USA,872,Illinois - Chicago,Illinois,geographic,true
USA,878,Pennsylvania - Pittsburgh,Pennsylvania,geographic,true
USA,901,Tennessee - Memphis,Tennessee,geographic,true
USA,903,"Texas - Tyler, Texarkana",Texas,geographic,true
USA,904,Florida - Jacksonville,Florida,geographic,true
USA,906,Michigan - Upper Peninsula,Michigan,geographic,true
USA,907,Alaska,Alaska,geographic,true
USA,908,"New Jersey - Elizabeth, Plainfield",New Jersey,geographic,true
USA,909,"California - Ontario, Pomona, San Bernardino",California,geographic,true
USA,910,"North Carolina - Fayetteville, Wilmington",North Carolina,geographic,true
USA,912,Georgia - Savannah,Georgia,geographic,true
USA,913,"Kansas - Kansas City, Overland Park",Kansas,geographic,true
USA,914,New York - Westchester County,New York,geographic,true
USA,915,Texas - El Paso,Texas,geographic,true
USA,916,California - Sacramento,California,geographic,true
USA,917,New York - New York City,New York,geographic,true
USA,918,Oklahoma - Tulsa,Oklahoma,geographic,true
USA,919,North Carolina - Raleigh,North Carolina,geographic,true
USA,920,"Wisconsin - Green Bay, Appleton",Wisconsin,geographic,true
USA,925,"California - Concord, Pleasanton",California,geographic,true
USA,928,"Arizona - Flagstaff, Yuma",Arizona,geographic,true
USA,929,"New York - Brooklyn, Queens, Bronx, Staten Island",New York,geographic,true
USA,930,"Indiana - Evansville, Bloomington",Indiana,geographic,true
USA,931,"Tennessee - Clarksville, Cookeville",Tennessee,geographic,true
USA,936,"Texas - Nacogdoches, Huntsville",Texas,geographic,true
USA,937,Ohio - Dayton,Ohio,geographic,true
USA,938,Alabama - Huntsville,Alabama,geographic,true
USA,940,"Texas - Denton, Wichita Falls",Texas,geographic,true
USA,941,"Florida - Sarasota, Bradenton",Florida,geographic,true
USA,947,"Michigan - Troy, Pontiac",Michigan,geographic,true
USA,949,California - Irvine,California,geographic,true
USA,951,"California - Riverside, Temecula",California,geographic,true
USA,952,"Minnesota - Bloomington, Eden Prairie",Minnesota,geographic,true
USA,954,Florida - Fort Lauderdale,Florida,geographic,true
USA,956,"Texas - Laredo, McAllen",Texas,geographic,true
USA,959,Connecticut - Hartford,Connecticut,geographic,true
USA,970,"Colorado - Fort Collins, Grand Junction",Colorado,geographic,true
USA,971,"Oregon - Portland, Salem",Oregon,geographic,true
USA,972,Texas - Dallas,Texas,geographic,true
USA,973,"New Jersey - Newark, Morristown, Paterson",New Jersey,geographic,true
USA,978,"Massachusetts - Lowell, Salem",Massachusetts,geographic,true
USA,979,"Texas - College Station, Bryan",Texas,geographic,true
USA,980,North Carolina - Charlotte,North Carolina,geographic,true
USA,984,North Carolina - Raleigh,North Carolina,geographic,true
USA,985,"Louisiana - Houma, Hammond",Louisiana,geographic,true
USA,986,Idaho,Idaho,geographic,true
USA,989,"Michigan - Saginaw, Alpena",Michigan,geographic,true
USA,800,Toll-Free Service,,toll-free,false
USA,833,Toll-Free Service,,toll-free,false
USA,844,Toll-Free Service,,toll-free,false
USA,855,Toll-Free Service,,toll-free,false
USA,866,Toll-Free Service,,toll-free,false
USA,877,Toll-Free Service,,toll-free,false
USA,888,Toll-Free Service,,toll-free,false
USA,900,Premium Rate Service,,premium-rate,false
CAN,204,Manitoba - Winnipeg,Manitoba,geographic,true
CAN,226,"Ontario - London, Windsor",Ontario,geographic,true
CAN,236,British Columbia - Vancouver,British Columbia,geographic,true
CAN,249,"Ontario - Sudbury, Sault Ste. Marie",Ontario,geographic,true
CAN,250,"British Columbia - Victoria, Kelowna",British Columbia,geographic,true
CAN,289,"Ontario - Hamilton, Niagara",Ontario,geographic,true
CAN,306,Saskatchewan,Saskatchewan,geographic,true
CAN,343,Ontario - Ottawa,Ontario,geographic,true
CAN,365,"Ontario - Hamilton, Niagara",Ontario,geographic,true
CAN,367,"Quebec - Quebec City, Sherbrooke",Quebec,geographic,true
CAN,368,"Alberta - Calgary, Banff",Alberta,geographic,true
CAN,382,Ontario - London,Ontario,geographic,true
CAN,403,"Alberta - Calgary, Banff",Alberta,geographic,true
CAN,416,Ontario - Toronto,Ontario,geographic,true
CAN,418,Quebec - Quebec City,Quebec,geographic,true
CAN,431,Manitoba - Winnipeg,Manitoba,geographic,true
CAN,437,Ontario - Toronto,Ontario,geographic,true
CAN,438,Quebec - Montreal,Quebec,geographic,true
CAN,450,"Quebec - Laval, Longueuil",Quebec,geographic,true
CAN,468,Quebec - Quebec City,Quebec,geographic,true
CAN,474,"Saskatchewan - Regina, Saskatoon",Saskatchewan,geographic,true
CAN,506,New Brunswick,New Brunswick,geographic,true
CAN,514,Quebec - Montreal,Quebec,geographic,true
CAN,519,"Ontario - London, Windsor, Kitchener",Ontario,geographic,true
CAN,548,"Ontario - London, Kitchener",Ontario,geographic,true
CAN,579,"Quebec - Laval, Longueuil",Quebec,geographic,true
CAN,581,Quebec - Quebec City,Quebec,geographic,true
CAN,584,Alberta - Edmonton,Alberta,geographic,true
CAN,587,"Alberta - Calgary, Edmonton",Alberta,geographic,true
CAN,604,British Columbia - Vancouver,British Columbia,geographic,true
CAN,613,Ontario - Ottawa,Ontario,geographic,true
CAN,639,Saskatchewan,Saskatchewan,geographic,true
CAN,647,Ontario - Toronto,Ontario,geographic,true
CAN,672,British Columbia - Vancouver,British Columbia,geographic,true
CAN,683,Ontario - Sudbury,Ontario,geographic,true
CAN,705,"Ontario - Barrie, Sudbury, North Bay",Ontario,geographic,true
CAN,709,Newfoundland and Labrador,Newfoundland and Labrador,geographic,true
CAN,742,Ontario - Hamilton,Ontario,geographic,true
CAN,753,Ontario - Ottawa,Ontario,geographic,true
CAN,778,"British Columbia - Vancouver, Victoria",British Columbia,geographic,true
CAN,780,Alberta - Edmonton,Alberta,geographic,true
CAN,782,Nova Scotia / Prince Edward Island,Nova Scotia,geographic,true
CAN,807,"Ontario - Thunder Bay, Kenora",Ontario,geographic,true
CAN,819,"Quebec - Gatineau, Sherbrooke",Quebec,geographic,true
CAN,825,"Alberta - Edmonton, Calgary",Alberta,geographic,true
CAN,867,Yukon / Northwest Territories / Nunavut,Northern Territories,geographic,true
CAN,873,"Quebec - Gatineau, Sherbrooke",Quebec,geographic,true
CAN,902,Nova Scotia / Prince Edward Island,Nova Scotia,geographic,true
CAN,905,"Ontario - Hamilton, Mississauga, Niagara",Ontario,geographic,true
MEX,33,Guadalajara,Jalisco,geographic,true
MEX,55,Mexico City (Ciudad de Mexico),CDMX,geographic,true
MEX,81,Monterrey,Nuevo Leon,geographic,true
MEX,222,Puebla,Puebla,geographic,true
MEX,223,Puebla (overlay),Puebla,geographic,true
MEX,224,Tehuacan,Puebla,geographic,true
MEX,225,Izucar de Matamoros,Puebla,geographic,true
MEX,226,Atlixco,Puebla,geographic,true
MEX,227,Tepeaca,Puebla,geographic,true
MEX,228,Xalapa,Veracruz,geographic,true
MEX,229,Veracruz,Veracruz,geographic,true
MEX,231,Huauchinango,Puebla,geographic,true
MEX,232,Poza Rica / Papantla,Veracruz,geographic,true
MEX,233,Tuxpan,Veracruz,geographic,true
MEX,235,Orizaba,Veracruz,geographic,true
MEX,236,Cordoba,Veracruz,geographic,true
MEX,237,Teziutlan,Puebla,geographic,true
MEX,238,Cosamaloapan,Veracruz,geographic,true
MEX,241,Tlaxcala,Tlaxcala,geographic,true
MEX,243,Huamantla,Tlaxcala,geographic,true
MEX,244,Apizaco,Tlaxcala,geographic,true
MEX,245,Acatlan,Puebla,geographic,true
MEX,246,Chiautempan,Tlaxcala,geographic,true
MEX,247,Calpulalpan,Tlaxcala,geographic,true
MEX,248,Perote,Veracruz,geographic,true
MEX,249,Libres,Puebla,geographic,true
MEX,271,Orizaba / Fortin,Veracruz,geographic,true
MEX,272,Cordoba,Veracruz,geographic,true
MEX,273,Tierra Blanca,Veracruz,geographic,true
MEX,274,Tezonapa,Veracruz,geographic,true
MEX,276,Ciudad Serdan,Puebla,geographic,true
MEX,278,Acayucan,Veracruz,geographic,true
MEX,279,Huatusco,Veracruz,geographic,true
MEX,281,Tantoyuca,Veracruz,geographic,true
MEX,282,Alamo / Tuxpan,Veracruz,geographic,true
MEX,283,Cerro Azul,Veracruz,geographic,true
MEX,284,Naranjos,Veracruz,geographic,true
MEX,285,Tempoal,Veracruz,geographic,true
MEX,287,Tuxtepec,Oaxaca,geographic,true
MEX,288,Coatzacoalcos,Veracruz,geographic,true
MEX,294,Minatitlan,Veracruz,geographic,true
MEX,296,Las Choapas,Veracruz,geographic,true
MEX,297,Isla,Veracruz,geographic,true
MEX,311,Tepic,Nayarit,geographic,true
MEX,312,Colima,Colima,geographic,true
MEX,313,Manzanillo,Colima,geographic,true
MEX,314,Tecomán,Colima,geographic,true
MEX,315,Cihuatlan,Jalisco,geographic,true
MEX,316,Tuxpan (Jalisco),Jalisco,geographic,true
MEX,317,Autlan de Navarro,Jalisco,geographic,true
MEX,319,Ameca,Jalisco,geographic,true
MEX,321,Santiago Ixcuintla,Nayarit,geographic,true
MEX,322,Puerto Vallarta,Jalisco,geographic,true
MEX,323,Ixtlan del Rio,Nayarit,geographic,true
MEX,324,Compostela,Nayarit,geographic,true
MEX,325,Acaponeta,Nayarit,geographic,true
MEX,326,Tomatlan,Jalisco,geographic,true
MEX,327,Valle de Banderas,Nayarit,geographic,true
MEX,328,Puerto Vallarta (overlay),Jalisco,geographic,true
MEX,329,San Blas,Nayarit,geographic,true
MEX,341,Ciudad Guzman,Jalisco,geographic,true
MEX,342,Zapotlanejo,Jalisco,geographic,true
MEX,343,San Juan de los Lagos,Jalisco,geographic,true
MEX,344,Ocotlan,Jalisco,geographic,true
MEX,345,Lagos de Moreno,Jalisco,geographic,true
MEX,346,Tepatitlan,Jalisco,geographic,true
MEX,347,Arandas,Jalisco,geographic,true
MEX,348,La Barca,Jalisco,geographic,true
MEX,349,Yahualica,Jalisco,geographic,true
MEX,351,Zamora,Michoacan,geographic,true
MEX,352,Sahuayo,Michoacan,geographic,true
MEX,353,La Piedad,Michoacan,geographic,true
MEX,354,Jiquilpan,Michoacan,geographic,true
MEX,355,Puruandiro,Michoacan,geographic,true
MEX,356,Tanhuato,Michoacan,geographic,true
MEX,371,Atotonilco el Alto,Jalisco,geographic,true
MEX,372,San Miguel el Alto,Jalisco,geographic,true
MEX,373,Tequila,Jalisco,geographic,true
MEX,374,Ameca,Jalisco,geographic,true
MEX,375,Chapala / Ajijic,Jalisco,geographic,true
MEX,376,Chapala / Ajijic,Jalisco,geographic,true
MEX,378,Teocaltiche,Jalisco,geographic,true
MEX,381,Juchitlan,Jalisco,geographic,true
MEX,382,Etzatlan,Jalisco,geographic,true
MEX,383,San Martin Hidalgo,Jalisco,geographic,true
MEX,384,Ahualulco de Mercado,Jalisco,geographic,true
MEX,385,Mascota,Jalisco,geographic,true
MEX,386,Talpa de Allende,Jalisco,geographic,true
MEX,387,Unión de Tula,Jalisco,geographic,true
MEX,388,Cocula,Jalisco,geographic,true
MEX,389,Atenguillo,Jalisco,geographic,true
MEX,391,Mazamitla,Jalisco,geographic,true
MEX,392,Tamazula de Gordiano,Jalisco,geographic,true
MEX,393,Tapalpa,Jalisco,geographic,true
MEX,395,Sayula,Jalisco,geographic,true
MEX,411,San Miguel de Allende,Guanajuato,geographic,true
MEX,412,Dolores Hidalgo,Guanajuato,geographic,true
MEX,413,San Felipe,Guanajuato,geographic,true
MEX,414,Queretaro (overlay),Queretaro,geographic,true
MEX,415,San Miguel de Allende (overlay),Guanajuato,geographic,true
MEX,417,Acambaro,Guanajuato,geographic,true
MEX,418,Salvatierra,Guanajuato,geographic,true
MEX,419,San José Iturbide,Guanajuato,geographic,true
MEX,421,San Juan del Rio,Queretaro,geographic,true
MEX,422,Amealco,Queretaro,geographic,true
MEX,423,Jalpan de Serra,Queretaro,geographic,true
MEX,424,Cadereyta de Montes,Queretaro,geographic,true
MEX,425,Tequisquiapan,Queretaro,geographic,true
MEX,427,Ezequiel Montes,Queretaro,geographic,true
MEX,428,Jaral del Progreso,Guanajuato,geographic,true
MEX,429,Apaseo el Grande,Guanajuato,geographic,true
MEX,431,Moroleon,Guanajuato,geographic,true
MEX,432,Yuriria,Guanajuato,geographic,true
MEX,433,Uriangato,Guanajuato,geographic,true
MEX,434,Huetamo,Michoacan,geographic,true
MEX,435,Maravatio,Michoacan,geographic,true
